customer_id,hourly_rate,daily,weekly,monthly,total_year
560.0,10.0,80.0,400.0,1600.0,19200.0
936.0,10.0,80.0,400.0,1600.0,19200.0
57.0,10.0,80.0,400.0,1600.0,19200.0
523.0,10.0,80.0,400.0,1600.0,19200.0
6.0,10.0,80.0,400.0,1600.0,19200.0
853.0,10.0,80.0,400.0,1600.0,19200.0
172.0,10.0,80.0,400.0,1600.0,19200.0
887.0,10.0,80.0,400.0,1600.0,19200.0
786.0,10.0,80.0,400.0,1600.0,19200.0
228.0,10.0,80.0,400.0,1600.0,19200.0
402.0,10.0,80.0,400.0,1600.0,19200.0
801.0,10.0,80.0,400.0,1600.0,19200.0
532.0,10.0,80.0,400.0,1600.0,19200.0
297.0,10.0,80.0,400.0,1600.0,19200.0
599.0,10.0,80.0,400.0,1600.0,19200.0
8.0,10.0,80.0,400.0,1600.0,19200.0
314.0,10.0,80.0,400.0,1600.0,19200.0
575.0,10.0,80.0,400.0,1600.0,19200.0
659.0,10.0,80.0,400.0,1600.0,19200.0
690.0,10.0,80.0,400.0,1600.0,19200.0
431.0,10.0,80.0,400.0,1600.0,19200.0
441.0,10.0,80.0,400.0,1600.0,19200.0
740.0,10.0,80.0,400.0,1600.0,19200.0
11.0,10.0,80.0,400.0,1600.0,19200.0
718.0,10.0,80.0,400.0,1600.0,19200.0
573.0,10.0,80.0,400.0,1600.0,19200.0
832.0,10.0,80.0,400.0,1600.0,19200.0
697.0,10.0,80.0,400.0,1600.0,19200.0
719.0,10.0,80.0,400.0,1600.0,19200.0
930.0,10.0,80.0,400.0,1600.0,19200.0
496.0,10.0,80.0,400.0,1600.0,19200.0
638.0,10.0,80.0,400.0,1600.0,19200.0
992.0,10.0,80.0,400.0,1600.0,19200.0
907.0,10.0,80.0,400.0,1600.0,19200.0
701.0,10.0,80.0,400.0,1600.0,19200.0
393.0,10.0,80.0,400.0,1600.0,19200.0
60.0,10.0,80.0,400.0,1600.0,19200.0
720.0,10.0,80.0,400.0,1600.0,19200.0
265.0,10.0,80.0,400.0,1600.0,19200.0
650.0,10.0,80.0,400.0,1600.0,19200.0
462.0,10.0,80.0,400.0,1600.0,19200.0
39.0,10.0,80.0,400.0,1600.0,19200.0
787.0,10.0,80.0,400.0,1600.0,19200.0
407.0,10.0,80.0,400.0,1600.0,19200.0
415.0,10.0,80.0,400.0,1600.0,19200.0
682.0,10.0,80.0,400.0,1600.0,19200.0
365.0,10.0,80.0,400.0,1600.0,19200.0
170.0,10.0,80.0,400.0,1600.0,19200.0
395.0,10.0,80.0,400.0,1600.0,19200.0
126.0,10.0,80.0,400.0,1600.0,19200.0
475.0,10.0,80.0,400.0,1600.0,19200.0
607.0,10.0,80.0,400.0,1600.0,19200.0
673.0,10.0,80.0,400.0,1600.0,19200.0
134.0,10.0,80.0,400.0,1600.0,19200.0
316.0,10.0,80.0,400.0,1600.0,19200.0
450.0,10.0,80.0,400.0,1600.0,19200.0
296.0,10.0,80.0,400.0,1600.0,19200.0
65.0,10.0,80.0,400.0,1600.0,19200.0
214.0,10.0,80.0,400.0,1600.0,19200.0
632.0,10.0,80.0,400.0,1600.0,19200.0
321.0,10.0,80.0,400.0,1600.0,19200.0
81.0,10.0,80.0,400.0,1600.0,19200.0
348.0,10.0,80.0,400.0,1600.0,19200.0
890.0,10.0,80.0,400.0,1600.0,19200.0
827.0,10.0,80.0,400.0,1600.0,19200.0
595.0,10.0,80.0,400.0,1600.0,19200.0
416.0,10.0,80.0,400.0,1600.0,19200.0
562.0,10.0,80.0,400.0,1600.0,19200.0
466.0,10.0,80.0,400.0,1600.0,19200.0
572.0,10.0,80.0,400.0,1600.0,19200.0
165.0,10.0,80.0,400.0,1600.0,19200.0
552.0,10.0,80.0,400.0,1600.0,19200.0
470.0,10.0,80.0,400.0,1600.0,19200.0
455.0,10.0,80.0,400.0,1600.0,19200.0
788.0,10.0,80.0,400.0,1600.0,19200.0
70.0,10.0,80.0,400.0,1600.0,19200.0
187.0,10.0,80.0,400.0,1600.0,19200.0
325.0,10.0,80.0,400.0,1600.0,19200.0
753.0,10.0,80.0,400.0,1600.0,19200.0
83.0,10.0,80.0,400.0,1600.0,19200.0
202.0,10.0,80.0,400.0,1600.0,19200.0
326.0,10.0,80.0,400.0,1600.0,19200.0
233.0,10.0,80.0,400.0,1600.0,19200.0
261.0,10.0,80.0,400.0,1600.0,19200.0
272.0,10.0,80.0,400.0,1600.0,19200.0
914.0,10.0,80.0,400.0,1600.0,19200.0
451.0,10.0,80.0,400.0,1600.0,19200.0
957.0,10.0,80.0,400.0,1600.0,19200.0
693.0,10.0,80.0,400.0,1600.0,19200.0
131.0,10.0,80.0,400.0,1600.0,19200.0
234.0,10.0,80.0,400.0,1600.0,19200.0
212.0,10.0,80.0,400.0,1600.0,19200.0
433.0,10.0,80.0,400.0,1600.0,19200.0
524.0,10.0,80.0,400.0,1600.0,19200.0
916.0,10.0,80.0,400.0,1600.0,19200.0
436.0,10.0,80.0,400.0,1600.0,19200.0
117.0,10.0,80.0,400.0,1600.0,19200.0
804.0,10.0,80.0,400.0,1600.0,19200.0
82.0,10.0,80.0,400.0,1600.0,19200.0
195.0,10.0,80.0,400.0,1600.0,19200.0
